ensembl_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
ENSMUSG00000000290,0,0.597157663198139,2.8845631270414978,2.9269792772336896,1.9354529732490402,5.132956473542185,11.7593021610025,2335.7294632324842,182
ENSMUSG00000000303,0,0,1.215047817220717,0.61878430738997,0,0.97988855804257,9.47723348400867,493.78987729719614,463
ENSMUSG00000000555,0,1.99008171275139,2.7646566255186427,4.501697802933558,3.88794738427975,7.11090084390285,9.88918966169103,3592.354846740979,21
ENSMUSG00000000791,0,0,1.2337406459033131,0.38043190405319505,0,0,8.79767270097916,303.58465943444963,653
ENSMUSG00000001143,0,1.652742756763415,2.732717149305386,3.7374968206092243,2.884360592100185,6.111919129867772,10.2249227035573,2982.522462846161,65
ENSMUSG00000001281,0,0,2.970790692734388,2.373246884226293,1.07692439929593,3.46360564782711,9.94472917025811,1893.851013612582,263
ENSMUSG00000001507,0,0,0.3851624873001455,0.07519285737432829,0,0,7.89426756867669,60.00390018471398,740
ENSMUSG00000001946,0,0,1.6765791044600389,0.8969025235130428,0,1.24545328379294,10.1094376549492,715.7282137634081,429
ENSMUSG00000001986,0,0,2.8997294258787467,2.3453374911729874,1.128329244279135,3.2211668330430876,10.6201119072228,1871.579317956044,248
ENSMUSG00000002033,0,0,0.4956613246214069,0.25825790461170706,0,0.3028797775989628,2.44650733768699,206.08980788014225,596
ENSMUSG00000002103,0,0,2.8122463281117582,2.351876583600222,1.1534892134803,4.109603352437342,10.029496393527,1876.7975137129772,260
ENSMUSG00000002602,0,0,1.2712027993414172,0.3987426484669817,0,0,9.34361388167102,318.1966334766514,635
ENSMUSG00000002808,0,1.24388093302886,3.7497479111886935,4.595906965312299,2.896769996932245,8.613754805145993,11.0275212078535,3667.533758319214,95
ENSMUSG00000002897,0,4.1419358191696105,2.6885157955309227,6.149708809551347,6.902169048808275,8.246078437188375,10.8759374382377,4907.467630021975,12
ENSMUSG00000003379,0,0,0.8849019905606985,0.26987894956556924,0,0,11.3877673469615,215.36340175332424,672
ENSMUSG00000003420,0,0,1.4024579785116555,0.5343236671191965,0,0.4881446000910735,8.22035839674169,426.39028636111885,586
ENSMUSG00000003882,0,0,1.4061286324657416,0.44736860589024885,0,0,10.4062251077468,357.00014750041856,627
ENSMUSG00000004105,0,0,1.177468599111581,0.3149851973105983,0,0,8.953788650052,251.35818745385748,670
ENSMUSG00000004207,0,5.07726951742717,2.5086144416610163,6.632979173250334,7.38559760130927,8.493786695626106,11.5816138738685,5293.117380253767,8
ENSMUSG00000004317,0,0,1.5536391841603068,0.8228642119502709,0,1.065089569771625,8.71872690384203,656.6456411363162,458
ENSMUSG00000004609,0,0,1.5119613761602506,0.511830886865479,0,0,9.1138741128917,408.44104771865227,622
ENSMUSG00000004631,0,0,1.6206878117526902,0.8739941786362069,0,1.15047223848823,9.1178352165348,697.447354551693,423
ENSMUSG00000004707,0,0,2.229746721843505,1.2893851348940706,0,1.4507680590681222,9.18360853736932,1028.9293376454684,446
ENSMUSG00000004709,0,0,2.48989202088301,1.4439008532098312,0.39308482320598703,1.366721974808085,10.3033748894255,1152.2328808614452,394
ENSMUSG00000004730,0,0,0.6261250518345464,0.15571087795735403,0,0,7.37515245507963,124.25728060996852,701
ENSMUSG00000005087,0.80104301471262,7.015875380111476,2.364144216386645,7.712955095300783,8.496070942389055,9.32441254140207,11.0414914453475,6154.938166050025,0
ENSMUSG00000005339,0,0,0.9497817654340145,0.13736063610045893,0,0,11.7004827519556,109.61378760816622,763
ENSMUSG00000005465,0,0,2.6405434141754958,1.8413231898536409,0.759320505139062,2.1209630540254096,9.83625845997478,1469.3759055032053,349
ENSMUSG00000005540,0,0,0.4692250389303571,0.08858758149244118,0,0,6.28324751802265,70.69289003096806,745
ENSMUSG00000005672,1.38554217379082,8.036057050271967,1.6259294500658203,8.69359039972416,9.047018046953484,9.729970973380018,12.0508171365266,6937.48513897988,0
ENSMUSG00000006386,0,0,2.2613691062440378,1.0869913821204724,0,1.0725773757559376,10.7792473854239,867.419122932137,486
ENSMUSG00000007613,0,0,2.9996506151039926,2.7552297964987185,1.38645438720993,5.650425190863412,9.94774568413644,2198.6733776059773,267
ENSMUSG00000007891,1.7117591045203,8.234007876674882,1.7792058259486676,8.78816010602482,9.197801210995735,9.932800584649822,11.9269317467429,7012.951764607807,0
ENSMUSG00000009291,0,2.8682610702261426,3.077634314518882,6.021937529264133,7.31429062321957,8.576784986020808,11.554901248246,4805.506148352779,23
ENSMUSG00000009376,0,0,1.7137078141936555,0.6419017420994622,0,0.3028797775989628,9.32404975801506,512.2375901953708,596
ENSMUSG00000012428,0,0,0.3163063781651662,0.01642912490258054,0,0,8.66668390834525,13.110441672259272,792
ENSMUSG00000013236,0,2.223141153493975,2.864992412179293,4.901091861082999,5.408830885662891,7.322863096423058,10.7612754971337,3911.0713051442326,44
ENSMUSG00000014158,0,0,0.8518284764870196,0.3076800987996261,0,0,9.71257923946248,245.52871884210163,606
ENSMUSG00000014353,0,0,2.5735826869503517,2.003768281926412,0.956498431312918,2.4616478954090675,10.2915002962451,1599.0070889772767,263
ENSMUSG00000015189,0,1.87713442750541,2.9137070957043782,4.624808481938928,4.415576386673295,7.48376848033236,10.9747670776945,3690.597168587264,26
ENSMUSG00000015314,0,0,1.1868503855584187,0.42036906042921923,0,0.2678683272757355,9.43154785940353,335.45451022251694,595
ENSMUSG00000015316,0,0,2.1299368923555266,1.155639420105013,0,1.2493899338747074,10.3330214996622,922.2002572438005,414
ENSMUSG00000015355,0,3.221080944839315,3.2049839979423105,6.6807234989227124,8.006718374452355,9.23064285497637,11.2591418109323,5331.217352140325,17
ENSMUSG00000016494,0,3.2636563802547474,3.48528540520728,6.400951722706318,5.18441492495179,9.969170100075615,12.2555697482543,5107.959474719642,7
ENSMUSG00000016496,0,0,2.1684334041385727,1.2300228726557152,0,1.377812126886195,9.37506866377065,981.5582523792607,410
ENSMUSG00000016534,0.434868082055924,5.575679800508685,2.437667550667113,7.098454686948843,7.94382533878845,8.839121567168581,11.0430438974799,5664.566840185176,0
ENSMUSG00000017756,0,0,2.093983495145396,1.0698995853016104,0,1.0734543767043576,9.34773805954562,853.7798690706851,489
ENSMUSG00000018166,0,0,1.8764147999797192,0.8547291123643495,0,0.8495725342905522,10.9414314803861,682.0738316667508,522
ENSMUSG00000018341,0,0,2.052914617447012,0.9146289683860688,0,0.8046213476175847,9.80815510728903,729.8739167720829,546
