gene_id,SRX028958_spl7_suf,SRX028959_spl7_def,SRX028962_spl7_suf,SRX028963_spl7_def
AT1G03365,201,26,113,141
AT1G03370,301,103,397,516
AT1G03380,353,121,454,616
AT1G03390,6,3,6,3
AT1G03395,0,0,0,0
AT1G03400,255,69,124,154
AT1G03410,47,8,60,50
AT1G03430,267,56,247,299
AT1G03440,63,22,120,120
AT1G03445,11,4,30,33
AT1G03457,18,9,217,181
AT1G03470,36,11,58,77
AT1G03475,1246,237,233,234
AT1G03490,3,0,6,10
AT1G03495,33,12,100,84
AT1G03502,6,2,9,9
AT1G03506,0,0,6,2
AT1G03510,16,4,23,26
AT1G03515,0,0,0,0
AT1G03520,127,15,76,86
AT1G03530,49,7,53,105
AT1G03540,8,4,30,43
AT1G03545,19,4,40,36
AT1G03550,153,27,214,250
AT1G03560,58,11,62,58
AT1G03570,0,0,0,0
AT1G03590,86,23,122,115
AT1G03600,1646,296,22,29
AT1G03610,332,61,573,582
AT1G03620,49,24,148,208
AT1G03630,1322,171,29,28
AT1G03640,0,0,0,0
AT1G03650,16,2,34,76
AT1G03660,12,12,98,140
AT1G03670,11,2,41,29
AT1G03680,2110,345,83,119
AT1G03687,81,11,69,90
AT1G03700,4,2,18,29
AT1G03710,6,1,18,17
AT1G03720,5,3,16,12
AT1G03730,105,35,258,265
AT1G03740,267,75,457,847
AT1G03743,13,3,2,6
AT1G03746,5,0,16,0
AT1G03750,49,13,49,85
AT1G03760,81,15,106,138
AT1G03770,32,13,40,79
AT1G03780,68,19,54,77
AT1G03790,17,7,32,55
AT1G03800,5,1,19,28
AT1G03810,1,0,5,6
AT1G03820,126,25,283,271
AT1G03830,62,16,111,94
AT1G03840,15,8,108,89
AT1G03850,24,52,611,848
AT1G03860,345,100,442,460
AT1G03870,91,12,1388,453
AT1G03880,8,1,17,20
AT1G03890,7,2,11,25
AT1G03900,384,121,525,744
AT1G03905,52,9,94,85
AT1G03910,382,83,357,369
AT1G03920,25,9,69,76
AT1G03930,235,34,112,168
AT1G03935,8,4,1,7
AT1G03940,479,118,78,70
AT1G03950,150,32,94,131
AT1G03960,170,49,124,201
AT1G03970,222,48,182,143
AT1G03980,10,1,36,38
AT1G03982,4,1,31,14
AT1G03987,0,3,4,5
AT1G03990,23,7,35,73
AT1G03993,0,0,10,0
AT1G03997,2,0,8,2
AT1G04000,72,21,123,157
AT1G04003,0,0,1,2
AT1G04007,10,2,6,12
AT1G04010,97,20,109,104
AT1G04013,13,4,11,0
AT1G04017,7,4,0,3
AT1G04020,33,11,53,40
AT1G04023,0,0,0,0
AT1G04027,1,0,2,0
AT1G04030,15,3,84,60
AT1G04033,0,3,7,12
AT1G04037,2,0,3,4
AT1G04040,312,50,1392,857
AT1G04043,0,0,0,0
AT1G04047,19,3,32,26
AT1G04050,49,6,96,63
AT1G04053,9,3,24,22
AT1G04057,2,0,0,3
AT1G04063,2,0,3,4
AT1G04067,3,0,1,5
AT1G04070,53,18,84,94
AT1G04073,12,0,4,5
AT1G04077,0,0,5,7
AT1G04080,504,115,511,760
AT1G04083,2,2,3,5
AT1G04087,0,0,1,1
AT1G04090,9,1,26,31
AT1G04093,0,1,3,9
AT1G04097,1,1,3,9
AT1G04100,62,12,42,118
AT1G04103,5,4,8,13
AT1G04105,0,0,0,3
AT1G04110,42,8,23,36
AT1G04117,14,2,20,25
AT1G04120,309,95,420,447
AT1G04123,0,0,2,0
AT1G04127,0,0,0,6
AT1G04130,103,25,112,114
AT1G04133,0,0,0,7
AT1G04137,1,3,7,9
AT1G04140,509,129,607,684
AT1G04143,1,0,5,3
AT1G04147,7,0,16,34
AT1G04150,16,2,25,40
AT1G04153,1,0,12,6
AT1G04157,0,0,1,3
AT1G04160,103,13,125,84
AT1G04163,0,0,0,5
AT1G04167,0,0,0,6
AT1G04170,574,113,588,512
AT1G04173,1,1,0,4
AT1G04177,7,0,6,7
AT1G04180,7,3,43,76
AT1G04183,121,15,221,209
AT1G04187,0,1,8,4
AT1G04190,172,31,256,178
AT1G04193,4,0,7,4
AT1G04197,3,1,14,3
AT1G04200,153,59,159,208
AT1G04203,0,0,0,0
AT1G04207,1,0,7,1
AT1G04210,204,43,292,304
AT1G04213,2,0,0,0
AT1G04217,3,0,9,8
AT1G04220,94,24,44,61
AT1G04223,3,1,14,10
AT1G04227,7,0,5,11
AT1G04230,144,44,126,152
AT1G04233,0,0,0,0
AT1G04237,2,0,1,10
AT1G04240,390,58,203,56
AT1G04243,1,0,0,2
AT1G04247,25,10,19,58
AT1G04250,261,36,804,332
AT1G04253,5,3,6,17
AT1G04257,1,0,6,2
AT1G04260,94,7,186,187
AT1G04263,0,1,0,6
AT1G04267,1,2,1,3
AT1G04270,1780,370,3002,2405
AT1G04273,3,0,1,3
AT1G04277,4,2,4,5
AT1G04280,106,51,324,374
AT1G04283,0,1,0,2
AT1G04287,2,0,4,1
AT1G04290,129,37,98,100
AT1G04293,0,1,3,3
AT1G04295,3,0,23,13
AT1G04297,3,2,1,3
AT1G04300,322,112,504,593
AT1G04303,1,2,2,7
AT1G04307,0,0,0,4
AT1G04310,82,19,92,158
AT1G04313,0,0,1,4
AT1G04320,0,0,0,0
AT1G04323,1,0,4,7
AT1G04327,0,0,2,1
AT1G04330,11,3,19,18
AT1G04333,0,0,0,3
AT1G04337,7,1,1,3
AT1G04340,96,40,294,220
AT1G04343,44,6,26,12
AT1G04347,7,6,9,5
AT1G04350,596,146,160,153
AT1G04353,0,0,24,51
AT1G04357,23,4,0,12
AT1G04360,13,4,75,49
AT1G04363,0,0,1,0
AT1G04367,15,0,7,13
AT1G04370,3,0,10,20
AT1G04373,0,0,2,2
AT1G04377,1,0,7,7
AT1G04380,9,2,30,34
AT1G04383,0,0,1,0
AT1G04387,0,0,4,5
AT1G04390,73,27,117,99
AT1G04393,0,0,0,8
AT1G04397,0,1,1,1
AT1G04400,1300,238,637,960
AT1G04403,0,3,2,8
AT1G04407,0,0,0,5
AT1G04410,6823,1190,7484,6286
AT1G04413,5,1,4,1
AT1G04417,0,0,1,3
AT1G04420,490,77,72,48
AT1G04423,0,1,5,2
AT1G04425,31,4,19,16
AT1G04427,0,0,2,1
AT1G04430,536,97,533,320
AT1G04433,7,0,2,0
AT1G04437,0,1,5,2
AT1G04440,413,98,694,1137
AT1G04443,3,0,1,0
AT1G04445,7,0,17,63
AT1G04447,6,0,1,2
AT1G04450,28,7,31,48
AT1G04453,3,0,2,4
AT1G04455,3,0,2,0
AT1G04463,0,0,0,10
AT1G04467,6,6,9,9
AT1G04470,14,2,36,51
AT1G04473,5,1,2,8
AT1G04477,0,2,4,6
AT1G04480,598,198,891,883
AT1G04483,3,1,12,6
AT1G04487,0,0,0,0
AT1G04490,25,6,48,55
AT1G04493,8,2,0,8
AT1G04497,0,1,0,0
AT1G04500,4,1,16,23
AT1G04503,154,28,392,288
AT1G04507,0,0,3,4
AT1G04510,410,75,424,452
AT1G04513,15,4,24,23
AT1G04517,3,0,0,6
AT1G04520,76,16,82,68
AT1G04523,1,1,1,2
AT1G04527,2,1,8,9
AT1G04530,330,94,268,298
AT1G04533,3,0,2,1
AT1G04537,54,16,88,96
AT1G04540,31,13,57,77
AT1G04547,2,0,0,0
AT1G04550,194,49,202,196
AT1G04555,56,22,36,71
AT1G04557,0,0,0,1
AT1G04560,4,1,23,27
AT1G04563,1,1,0,1
AT1G04567,2,1,0,1
AT1G04570,73,32,36,40
AT1G04573,0,1,0,3
AT1G04577,2,3,0,1
AT1G04580,24,10,58,94
AT1G04583,0,0,0,0
AT1G04587,4,3,5,6
AT1G04590,181,31,136,161
AT1G04593,0,3,7,4
AT1G04597,0,0,1,1
AT1G04600,42,8,59,72
AT1G04603,0,1,7,5
AT1G04607,1,1,4,7
AT1G04610,21,6,65,60
AT1G04620,319,50,62,93
AT1G04623,1,1,0,7
AT1G04625,13,0,16,16
AT1G04630,237,37,278,196
AT1G04635,10,4,5,17
AT1G04640,235,26,107,117
AT1G04643,0,0,0,0
AT1G04645,1,0,4,6
AT1G04647,0,0,0,9
AT1G04650,34,10,39,58
AT1G04653,1,0,3,1
AT1G04657,2,0,0,2
AT1G04660,22,6,14,31
AT1G04667,4,0,2,11
AT1G04670,3,0,6,8
AT1G04673,1,0,2,3
AT1G04677,3,1,9,11
AT1G04680,579,72,456,489
AT1G04683,5,2,6,7
AT1G04687,1,0,0,0
AT1G04690,972,272,531,465
AT1G04693,1,1,5,3
AT1G04697,7,4,23,10
AT1G04700,17,8,45,77
AT1G04703,0,3,17,3
AT1G04707,0,0,0,5
AT1G04710,123,37,53,43
AT1G04713,0,0,0,0
AT1G04717,0,1,9,5
AT1G04720,0,0,0,0
AT1G04723,4,1,3,5
AT1G04730,57,4,43,57
AT1G04733,9,3,8,11
AT1G04737,5,0,3,10
AT1G04743,0,0,1,0
AT1G04747,0,0,2,0
AT1G04750,568,147,718,809
AT1G04753,0,0,5,1
AT1G04760,50,5,40,33
AT1G04763,1,0,0,0
AT1G04767,4,0,5,7
AT1G04770,552,79,170,160
AT1G04773,0,0,0,0
AT1G04778,11,2,15,18
AT1G04780,298,124,308,406
AT1G04783,6,4,18,2
AT1G04787,3,0,0,4
AT1G04790,245,41,187,192
AT1G04793,3,1,5,10
AT1G04797,3,0,3,8
AT1G04800,93,3,4,13
AT1G04803,3,0,0,4
AT1G04807,1,1,3,8
AT1G04810,200,27,335,327
AT1G04813,0,0,2,4
AT1G04817,5,2,4,4
AT1G04820,1371,235,2468,1422
AT1G04823,0,1,0,3
AT1G04827,6,0,4,9
AT1G04830,175,44,214,210
AT1G04833,28,0,0,0
AT1G04837,14,0,17,36
AT1G04840,18,6,36,60
AT1G04847,2,0,0,1
AT1G04850,631,178,562,672
AT1G04853,2,0,2,5
AT1G04857,0,1,0,1
AT1G04860,175,45,137,186
AT1G04863,5,2,4,9
AT1G04867,0,0,2,1
AT1G04870,158,44,263,249
AT1G04873,0,0,0,0
AT1G04877,1,1,3,7
AT1G04880,4,1,34,32
AT1G04883,0,2,1,2
AT1G04887,0,0,0,0
AT1G04890,13,9,28,24
AT1G04893,3,0,3,7
AT1G04895,0,0,2,1
AT1G04897,0,0,1,1
AT1G04900,98,19,119,153
AT1G04907,1,0,4,0
AT1G04910,227,53,165,181
AT1G04913,2,2,6,10
AT1G04917,0,2,0,0
AT1G04920,20,10,42,48
AT1G04923,7,0,5,10
AT1G04927,0,3,4,6
AT1G04930,21,9,46,62
AT1G04933,36,2,14,50
AT1G04937,0,0,1,0
AT1G04940,550,97,169,206
AT1G04943,1,0,0,1
AT1G04945,50,25,100,102
AT1G04947,1,1,3,5
AT1G04950,185,38,192,223
AT1G04953,0,0,0,0
AT1G04957,7,3,6,5
AT1G04960,204,54,218,235
AT1G04963,1,0,1,4
AT1G04967,1,0,5,1
AT1G04970,319,75,261,362
AT1G04973,19,7,28,28
AT1G04977,31,0,31,17
AT1G04980,137,51,126,139
AT1G04983,3,0,2,2
AT1G04985,209,49,236,276
AT1G04987,0,0,3,9
AT1G04990,546,92,118,108
AT1G04993,1,0,0,1
AT1G04997,2,3,4,2
AT1G05000,27,35,155,85
AT1G05003,0,0,4,3
AT1G05005,3,1,4,6
AT1G05007,0,0,1,3
AT1G05010,966,300,405,490
AT1G05013,1,1,2,1
AT1G05017,1,1,3,2
AT1G05020,11,1,36,34
AT1G05023,3,1,5,8
AT1G05027,3,1,5,9
AT1G05030,152,40,87,118
AT1G05033,1,0,2,2
AT1G05035,0,0,2,5
AT1G05037,0,1,0,2
AT1G05040,4,2,6,22
AT1G05043,7,1,2,7
AT1G05047,5,0,4,9
AT1G05053,1,0,1,3
AT1G05055,80,11,72,111
AT1G05057,0,0,4,5
AT1G05060,233,86,294,444
AT1G05065,41,12,31,32
AT1G05067,3,1,2,6
AT1G05070,188,53,116,165
AT1G05073,0,2,0,0
AT1G05077,1,1,0,11
AT1G05080,2,0,11,14
AT1G05083,8,0,10,19
AT1G05085,1,0,1,0
AT1G05087,0,0,2,2
AT1G05090,167,15,101,139
AT1G05093,4,0,1,6
AT1G05097,1,1,5,6
AT1G05100,17,15,11,19
AT1G05103,0,0,1,2
AT1G05107,6,2,2,2
AT1G05113,1,1,0,2
AT1G05117,1,1,2,2
AT1G05120,163,45,222,222
AT1G05123,0,0,9,2
AT1G05127,0,1,2,6
AT1G05133,3,0,6,5
AT1G05136,0,0,0,0
AT1G05137,0,1,0,0
AT1G05140,288,57,77,82
AT1G05143,11,2,5,10
AT1G05147,0,0,0,0
AT1G05150,196,44,358,326
AT1G05153,7,2,10,5
AT1G05160,173,51,158,211
AT1G05163,42,2,54,59
AT1G05170,261,51,84,124
AT1G05173,1,2,0,2
AT1G05177,3,2,3,10
AT1G05180,248,63,218,298
AT1G05183,0,1,50,7
AT1G05187,0,0,0,6
AT1G05190,1705,268,97,107
AT1G05193,0,0,0,3
AT1G05197,1,1,0,1
AT1G05200,232,46,67,101
AT1G05203,6,1,5,3
AT1G05205,99,25,130,141
AT1G05207,112,23,16,3
AT1G05210,21,8,68,85
AT1G05213,34,14,41,56
AT1G05217,1,1,2,4
AT1G05220,6,0,47,27
AT1G05223,3,1,0,2
AT1G05227,0,0,9,4
AT1G05230,138,31,41,76
AT1G05233,0,0,4,2
AT1G05237,2,1,7,2
AT1G05240,15,7,249,280
AT1G05243,0,0,0,3
AT1G05247,0,0,0,0
AT1G05250,20,0,2217,1389
AT1G05253,0,0,0,0
AT1G05257,3,8,0,0
AT1G05260,48,13,2250,1353
AT1G05263,0,0,7,5
AT1G05267,0,0,0,5
AT1G05270,226,49,260,236
AT1G05273,0,0,0,6
AT1G05277,12,9,16,20
AT1G05280,17,7,43,46
AT1G05283,2,0,2,6
AT1G05287,1,0,7,3
AT1G05290,9,2,10,10
AT1G05291,5,1,3,4
AT1G05293,3,0,5,3
AT1G05297,1,0,0,3
AT1G05300,74,17,45,59
AT1G05303,0,0,0,0
AT1G05307,0,1,2,7
AT1G05310,39,14,63,84
AT1G05313,2,0,4,5
AT1G05317,6,5,10,21
AT1G05320,262,64,244,230
AT1G05323,0,0,0,0
AT1G05327,0,0,7,1
AT1G05330,10,5,5,18
AT1G05333,0,17,0,0
AT1G05337,0,0,4,0
AT1G05340,72,230,204,259
AT1G05343,0,0,0,5
AT1G05347,56,33,430,389
AT1G05350,132,33,215,164
AT1G05353,0,0,0,0
AT1G05357,23,2,2,36
AT1G05360,71,19,57,95
AT1G05363,0,0,1,3
AT1G05367,0,0,2,3
AT1G05370,42,9,60,59
AT1G05373,0,0,1,1
AT1G05377,0,4,0,5
AT1G05380,199,44,249,313
AT1G05383,4,0,4,9
AT1G05385,146,29,55,66
AT1G05387,2,1,8,7
AT1G05390,3,0,1,1
AT1G05397,0,0,6,9
AT1G05400,21,7,30,57
AT1G05407,0,1,2,3
AT1G05410,100,19,161,149
AT1G05413,0,1,2,5
AT1G05417,0,0,0,0
AT1G05420,8,0,16,20
AT1G05423,0,0,0,2
AT1G05427,3,0,0,0
AT1G05430,214,46,171,164
AT1G05433,0,0,0,3
AT1G05440,23,7,22,26
AT1G05443,4,2,3,7
AT1G05447,1,0,0,0
AT1G05450,3,3,15,20
AT1G05453,0,0,0,0
AT1G05460,100,20,93,74
AT1G05463,0,1,0,3
AT1G05467,30,8,21,29
AT1G05470,94,15,159,95
AT1G05473,3,0,1,0
AT1G05477,1,0,2,2
AT1G05483,2,5,2,2
AT1G05487,0,1,2,8
AT1G05490,45,9,87,84
AT1G05493,5,0,2,4
AT1G05497,5,1,7,11
AT1G05500,336,42,230,233
AT1G05507,0,0,7,8
AT1G05510,3,1,14,19
AT1G05517,1,0,7,4
AT1G05520,218,46,245,250
AT1G05523,81,33,142,138
AT1G05527,2,0,2,7
AT1G05530,3,0,22,22
AT1G05533,1,0,5,2
AT1G05537,1,0,0,10
AT1G05540,13,5,13,19
AT1G05543,4,0,6,15
AT1G05547,0,1,5,3
AT1G05550,31,10,49,61
AT1G05553,22,12,19,20
AT1G05557,5,1,9,11
AT1G05560,89,16,9,28
AT1G05562,102,18,17,16
AT1G05563,2,0,0,0
AT1G05567,0,0,1,7
AT1G05570,379,138,1511,1359
AT1G05575,12,13,277,193
AT1G05577,8,3,16,29
AT1G05580,8,2,28,37
AT1G05583,5,1,1,1
AT1G05587,2,0,0,3
AT1G05590,49,11,55,71
AT1G05593,0,0,0,3
AT1G05597,3,0,2,0
AT1G05600,60,12,66,67
AT1G05603,1,0,0,7
AT1G05607,1,1,4,3
AT1G05610,13,4,25,29
AT1G05613,2,2,4,1
AT1G05615,3,0,2,9
AT1G05617,2,1,9,2
AT1G05620,94,24,168,128
AT1G05623,1,1,4,3
AT1G05627,1,0,0,1
AT1G05630,100,22,137,124
AT1G05633,0,0,0,6
AT1G05637,0,0,0,4
AT1G05640,23,4,33,41
AT1G05643,3,0,3,5
AT1G05647,1,0,3,2
AT1G05650,10,8,37,46
AT1G05653,0,0,1,2
AT1G05657,0,0,1,2
AT1G05660,2,5,19,30
AT1G05663,6,1,13,7
AT1G05667,0,0,0,0
AT1G05670,49,11,68,100
AT1G05673,0,0,5,14
AT1G05675,15,6,9,29
AT1G05680,5,19,23,42
AT1G05683,1,0,1,3
AT1G05687,8,1,8,8
AT1G05690,55,10,16,34
AT1G05693,0,1,7,1
AT1G05697,0,0,0,4
AT1G05700,16,5,207,134
AT1G05703,3,3,2,3
AT1G05707,0,0,0,2
AT1G05710,172,23,234,235
AT1G05713,1,0,0,3
AT1G05717,0,0,0,4
AT1G05720,272,58,248,230
AT1G05723,0,0,0,0
AT1G05727,0,0,0,0
AT1G05730,17,6,44,31
AT1G05733,0,4,2,3
AT1G05737,2,0,0,0
AT1G05740,4,0,11,2
AT1G05747,2,3,1,10
AT1G05750,56,9,124,112
AT1G05753,0,0,0,0
AT1G05757,1,0,4,12
AT1G05760,0,0,49,31
AT1G05763,2,0,1,2
AT1G05767,0,0,0,2
AT1G05770,9,0,61,32
AT1G05773,3,2,5,12
AT1G05777,0,1,5,0
AT1G05780,25,11,62,65
AT1G05783,2,0,4,4
AT1G05785,96,32,163,254
AT1G05787,2,0,0,4
AT1G05790,113,39,122,150
AT1G05793,0,2,2,1
AT1G05797,0,0,1,2
AT1G05800,4,0,14,18
AT1G05803,0,1,2,5
AT1G05805,343,82,351,392
AT1G05807,1,0,1,4
AT1G05810,52,8,178,131
AT1G05813,1,1,1,1
AT1G05817,0,0,0,1
AT1G05820,33,13,67,89
AT1G05823,2,1,4,3
AT1G05827,0,0,2,2
AT1G05830,190,32,239,328
AT1G05833,4,2,19,14
AT1G05835,78,14,6,26
AT1G05837,0,0,0,0
AT1G05840,281,75,473,530
AT1G05843,5,1,3,11
AT1G05847,3,2,0,5
AT1G05850,3217,377,1830,1113
AT1G05853,12,0,1,4
AT1G05857,0,1,3,1
AT1G05860,105,23,91,108
AT1G05863,3,1,1,6
AT1G05867,6,0,8,4
AT1G05870,276,46,155,140
AT1G05873,0,0,0,0
AT1G05880,22,15,103,191
AT1G05887,1,0,0,1
AT1G05890,446,164,907,1064
AT1G05893,0,0,0,1
AT1G05894,13,6,30,33
AT1G05897,0,1,1,3
AT1G05900,148,45,101,98
AT1G05903,1,0,6,4
AT1G05907,4,0,9,1
AT1G05910,142,40,195,225
AT1G05913,5,5,0,4
AT1G05917,14,3,25,13
AT1G05920,9,0,9,17
AT1G05927,29,0,142,30
AT1G05930,3,0,7,13
AT1G05933,4,2,7,11
AT1G05937,4,1,0,6
AT1G05940,320,90,217,258
AT1G05943,11,3,38,24
AT1G05947,6,8,15,16
AT1G05950,34,7,29,39
AT1G05953,0,0,2,4
AT1G05957,1,1,1,3
AT1G05960,198,35,244,312
