xenbase_gene_id,S30_C_1,S30_C_2,S30_C_3,S30_F_1,S30_F_2,S30_F_3
XB-GENE-1000007,201,210,310,274,252,204
XB-GENE-1000023,423,471,868,493,507,506
XB-GENE-1000062,98,77,108,107,86,52
XB-GENE-1000072,43,43,69,77,47,30
XB-GENE-1000113,387,521,367,465,568,233
XB-GENE-1000132,80,128,168,113,105,112
XB-GENE-1000149,64,39,32,37,32,22
XB-GENE-1000161,0,0,0,0,0,0
XB-GENE-1000188,2,0,0,0,0,1
XB-GENE-1000251,2305,2398,2811,3202,2535,2299
XB-GENE-1000265,43,39,60,66,39,41
XB-GENE-1000295,0,0,0,0,1,0
XB-GENE-1000329,20,23,26,24,28,19
XB-GENE-1000363,20,18,24,31,20,16
XB-GENE-1000372,6,4,14,10,7,9
XB-GENE-1000382,129,176,208,186,194,125
XB-GENE-1000419,0,0,16,0,1,1
XB-GENE-1000437,12,8,7,5,6,4
XB-GENE-1000470,96,106,53,103,111,38
XB-GENE-1000482,44,43,54,44,39,35
XB-GENE-1000491,73,100,138,133,95,104
XB-GENE-1000531,95,89,101,94,61,63
XB-GENE-1000542,115,129,161,156,138,141
XB-GENE-1000552,105,115,184,195,124,192
XB-GENE-1000567,97,101,137,120,138,81
XB-GENE-1000580,561,767,1073,984,952,986
XB-GENE-1000594,12,15,40,16,19,19
XB-GENE-1000606,0,0,2,0,1,0
XB-GENE-1000619,18,30,30,22,21,27
XB-GENE-1000638,143,178,259,159,151,118
XB-GENE-1000678,436,311,431,349,375,174
XB-GENE-1000687,47,87,110,115,104,132
XB-GENE-1000706,70,54,113,89,53,74
XB-GENE-1000765,384,371,562,416,445,350
XB-GENE-1000779,11,9,13,10,13,13
XB-GENE-1000791,181,189,283,266,224,145
XB-GENE-1000815,64,64,78,68,79,49
XB-GENE-1000834,3,2,2,2,4,2
XB-GENE-1000845,50,61,109,66,87,60
XB-GENE-1000854,23,21,32,22,29,24
XB-GENE-1000959,321,341,380,392,343,228
XB-GENE-1000971,123,119,170,126,134,105
XB-GENE-1000983,2338,2711,3624,3513,3226,3147
XB-GENE-1001017,46,55,104,71,59,43
XB-GENE-1001029,12,15,36,22,19,20
XB-GENE-1001039,81,78,132,94,108,60
XB-GENE-1001059,21,24,52,27,43,28
XB-GENE-1001088,268,261,468,358,267,253
XB-GENE-1001113,139,154,222,149,193,151
XB-GENE-1001131,56,36,64,29,55,31
XB-GENE-1001139,2,0,1,0,0,0
XB-GENE-1001158,155,221,273,293,213,236
XB-GENE-1001182,0,0,10,2,2,9
XB-GENE-1001202,211,116,186,251,157,113
XB-GENE-1001213,106,131,196,136,107,147
XB-GENE-1001247,45,52,72,64,60,30
XB-GENE-1001321,137,116,169,164,146,112
XB-GENE-1001347,4563,5176,6599,6918,6494,5367
XB-GENE-1001378,0,1,0,2,0,0
XB-GENE-1001390,42,64,64,49,53,51
XB-GENE-1001398,221,210,228,252,238,150
XB-GENE-1001421,49,42,70,69,70,80
XB-GENE-1001444,64,80,94,84,92,95
XB-GENE-1001458,23,29,48,34,44,56
XB-GENE-1001470,9,5,5,11,2,9
XB-GENE-1001488,537,472,559,664,486,379
XB-GENE-1001512,102,118,213,144,134,147
XB-GENE-1001521,8,9,8,6,6,6
XB-GENE-1001532,60,91,132,92,114,103
XB-GENE-1001545,112,133,185,128,115,102
XB-GENE-1001590,292,278,447,420,321,261
XB-GENE-1001617,71,97,105,85,67,67
XB-GENE-1001623,80,92,111,93,128,69
XB-GENE-1001652,0,0,0,1,0,0
XB-GENE-1001661,3,4,11,4,10,6
XB-GENE-1001671,118,123,208,138,212,133
XB-GENE-1001705,48,62,90,55,63,71
XB-GENE-1001715,25,38,53,67,55,38
XB-GENE-1001725,518,576,753,668,675,510
XB-GENE-1001737,243,227,306,274,338,180
XB-GENE-1001748,158,194,347,221,191,218
XB-GENE-1001759,64,87,102,103,106,72
XB-GENE-1001776,313,271,388,337,322,252
XB-GENE-1001785,41,63,112,72,68,76
XB-GENE-1001796,31,29,96,54,47,97
XB-GENE-1001807,227,254,368,333,306,236
XB-GENE-1001828,3,1,1,0,0,0
XB-GENE-1001848,64,49,41,51,54,27
XB-GENE-1001862,169,214,269,160,189,129
XB-GENE-1001876,146,186,96,103,147,29
XB-GENE-1001922,24,36,26,41,32,24
XB-GENE-1001944,192,215,231,215,216,147
XB-GENE-1001971,1671,1784,2547,2484,2213,2142
XB-GENE-1001995,67,92,128,127,120,108
XB-GENE-1002009,41,28,46,30,25,22
XB-GENE-1002020,703,784,1305,1136,887,1050
XB-GENE-1002054,127,79,158,110,104,128
XB-GENE-1002072,40,56,101,61,55,59
XB-GENE-1002106,3,6,10,2,2,9
XB-GENE-1002136,55,104,153,112,107,94
XB-GENE-1002146,298,319,366,331,396,180
XB-GENE-1002174,133,153,177,198,200,117
XB-GENE-1002192,50,102,142,120,102,114
XB-GENE-1002225,9053,9071,10566,8884,8247,6471
XB-GENE-1002268,98,106,168,152,133,121
XB-GENE-1002280,278,280,367,287,325,208
XB-GENE-1002296,102,120,193,140,113,95
XB-GENE-1002307,157,203,262,243,255,221
XB-GENE-1002350,109,109,137,105,138,86
XB-GENE-1002360,49,30,85,56,22,54
XB-GENE-1002391,135,129,192,162,147,123
XB-GENE-1002400,2424,2699,2048,2691,3401,1148
XB-GENE-1002420,204,193,297,236,209,138
XB-GENE-1002429,178,246,431,213,240,228
XB-GENE-1002440,49,37,84,39,32,38
XB-GENE-1002454,368,358,412,410,408,234
XB-GENE-1002468,0,0,0,0,0,0
XB-GENE-1002479,721,755,731,883,843,438
XB-GENE-1002488,118,144,201,194,146,137
XB-GENE-1002501,760,716,905,961,876,858
XB-GENE-1002521,161,166,180,172,151,119
XB-GENE-1002533,63,96,146,99,135,112
XB-GENE-1002576,90,123,145,109,129,95
XB-GENE-1002601,12863,13844,15004,14101,16109,8076
XB-GENE-1002629,62,70,141,94,134,86
XB-GENE-1002637,130,148,182,169,129,112
XB-GENE-1002648,0,0,0,0,0,0
XB-GENE-1002712,109,106,121,112,112,100
XB-GENE-1002747,56,99,134,80,93,126
XB-GENE-1002775,21,14,33,23,21,21
XB-GENE-1002788,170,166,265,191,198,185
XB-GENE-1002805,287,352,452,382,382,295
XB-GENE-1002819,0,1,0,4,0,15
XB-GENE-1002829,439,557,785,964,734,799
XB-GENE-1002882,165,187,215,199,196,152
XB-GENE-1002926,1016,1344,1640,926,1318,730
XB-GENE-1002939,188,142,194,178,155,124
XB-GENE-1002951,229,265,375,263,306,232
XB-GENE-1002977,35,65,85,52,53,44
XB-GENE-1002995,0,0,0,0,0,0
XB-GENE-1003060,15,9,18,12,20,7
XB-GENE-1003095,513,562,626,543,668,357
XB-GENE-1003109,115,121,187,164,93,98
XB-GENE-1003124,637,692,813,746,749,475
XB-GENE-1003133,416,466,523,462,379,286
XB-GENE-1003145,0,0,0,0,2,0
XB-GENE-1003198,0,0,0,0,0,0
XB-GENE-1003250,458,457,570,592,499,418
XB-GENE-1003268,0,0,0,0,0,0
XB-GENE-1003294,2256,2946,3464,3384,3557,2669
XB-GENE-1003315,33,47,54,47,46,33
XB-GENE-1003329,2454,2287,1988,2417,2683,1105
XB-GENE-1003347,9,12,17,15,15,16
XB-GENE-1003369,1162,981,1133,1289,1257,696
XB-GENE-1003379,44419,33711,43864,50061,39176,28781
XB-GENE-1003391,93,72,87,78,66,52
XB-GENE-1003489,2,1,4,0,0,3
XB-GENE-1003497,88,131,139,114,138,77
XB-GENE-1003512,46,31,28,61,36,22
XB-GENE-1003523,449,765,488,570,612,281
XB-GENE-1003548,73,74,93,62,96,53
XB-GENE-1003595,32,35,51,37,38,24
XB-GENE-1003603,98,105,114,128,108,72
XB-GENE-1003623,4873,5625,8738,8101,7607,8122
XB-GENE-1003655,79,95,146,161,119,118
XB-GENE-1003693,77,80,129,90,91,74
XB-GENE-1003715,197,273,359,235,296,204
XB-GENE-1003770,0,0,5,0,1,2
XB-GENE-1003802,69,77,161,70,83,95
XB-GENE-1003813,48,36,49,59,47,45
XB-GENE-1003873,262,259,484,369,310,313
XB-GENE-1003886,1,1,0,0,0,1
XB-GENE-1003903,1125,733,1616,1095,1137,801
XB-GENE-1003964,482,500,525,521,582,391
XB-GENE-1003971,52,55,59,72,40,29
XB-GENE-1004025,31,38,54,44,35,41
XB-GENE-1004036,147,182,191,203,192,128
XB-GENE-1004076,2,1,5,0,3,1
XB-GENE-1004105,17,7,44,16,10,22
XB-GENE-1004114,331,257,258,324,388,190
XB-GENE-1004132,132,134,166,135,162,106
XB-GENE-1004145,115,99,171,134,110,127
XB-GENE-1004162,75,100,133,122,118,112
XB-GENE-1004184,289,315,464,393,356,308
XB-GENE-1004195,1,0,3,0,0,1
XB-GENE-1004218,62,75,97,123,71,94
XB-GENE-1004231,15,22,83,28,23,56
XB-GENE-1004243,78,107,166,132,139,124
XB-GENE-1004312,42,68,110,84,93,90
XB-GENE-1004339,78,119,145,133,156,118
XB-GENE-1004354,225,210,287,246,240,161
XB-GENE-1004364,97,125,129,146,117,122
XB-GENE-1004413,357,298,265,284,291,181
XB-GENE-1004425,10,14,22,14,18,12
XB-GENE-1004449,90,119,157,144,158,84
XB-GENE-1004458,110,146,261,147,165,132
XB-GENE-1004473,226,266,441,307,327,291
XB-GENE-1004592,66,86,121,95,108,101
XB-GENE-1004605,139,168,442,160,151,230
XB-GENE-1004615,44,47,49,68,43,63
XB-GENE-1004641,132,183,208,186,187,133
XB-GENE-1004666,149,166,204,213,180,148
XB-GENE-1004679,6,6,6,9,13,5
XB-GENE-1004697,225,197,267,215,187,138
XB-GENE-1004715,430,416,502,531,425,340
XB-GENE-1004735,210,182,202,199,205,95
XB-GENE-1004748,181,170,217,177,180,147
XB-GENE-1004762,6,7,9,9,7,4
XB-GENE-1004794,192,305,348,286,319,251
XB-GENE-1004804,338,320,439,316,397,209
XB-GENE-1004814,15,16,18,10,16,8
XB-GENE-1004836,11,9,24,14,13,25
XB-GENE-1004848,337,400,489,436,418,253
XB-GENE-1004886,1045,938,1038,1024,1011,534
XB-GENE-1004917,90,119,158,132,109,93
XB-GENE-1004928,36,41,65,37,37,39
XB-GENE-1004939,485,548,1662,664,567,776
XB-GENE-1004954,11,11,13,17,10,10
XB-GENE-1004965,236,307,317,306,301,187
XB-GENE-1004974,2,8,3,3,9,2
XB-GENE-1004981,0,0,2,1,0,2
XB-GENE-1004988,26,42,47,42,43,13
XB-GENE-1005017,81,89,242,110,99,140
XB-GENE-1005029,17,14,56,23,12,56
XB-GENE-1005039,24,48,46,49,36,32
XB-GENE-1005050,53,35,58,42,49,37
XB-GENE-1005073,369,526,471,548,505,320
XB-GENE-1005089,43,62,90,108,98,107
XB-GENE-1005108,85,80,277,114,89,188
XB-GENE-1005120,108,120,140,123,125,89
XB-GENE-1005163,180,225,263,369,262,268
XB-GENE-1005177,230,241,356,260,276,223
XB-GENE-1005189,63,80,141,92,80,95
XB-GENE-1005200,69,111,139,77,112,88
XB-GENE-1005239,217,246,292,226,212,187
XB-GENE-1005323,15,16,35,25,26,11
XB-GENE-1005338,88,96,88,85,114,56
XB-GENE-1005355,59,57,61,65,58,55
XB-GENE-1005365,252,266,266,256,285,152
XB-GENE-1005376,140,123,146,166,144,102
XB-GENE-1005385,1140,1420,1930,1446,1744,969
XB-GENE-1005396,318,300,288,325,306,194
XB-GENE-1005406,108,138,116,188,146,124
XB-GENE-1005416,154,192,225,252,221,213
XB-GENE-1005429,520,647,846,581,659,461
XB-GENE-1005530,365,403,517,440,436,288
XB-GENE-1005539,244,206,204,286,274,183
XB-GENE-1005566,303,507,599,416,573,367
XB-GENE-1005578,456,502,675,561,637,438
XB-GENE-1005594,29,25,22,42,37,15
XB-GENE-1005605,40,46,44,40,41,48
XB-GENE-1005621,20,27,55,28,21,31
XB-GENE-1005634,390,341,385,385,375,179
XB-GENE-1005657,48,112,104,98,82,91
XB-GENE-1005683,937,977,925,965,1097,398
XB-GENE-1005712,15,21,19,15,22,10
XB-GENE-1005726,142,147,154,153,126,77
XB-GENE-1005782,0,0,0,0,0,0
XB-GENE-1005792,56,73,109,91,97,89
XB-GENE-1005821,1065,1033,875,1115,949,541
XB-GENE-1005838,68,88,87,84,96,63
XB-GENE-1005870,4,8,16,4,9,12
XB-GENE-1005886,9,9,7,12,10,10
XB-GENE-1005907,37,75,83,46,77,66
XB-GENE-1005938,205,205,232,258,240,129
XB-GENE-1005955,4,4,14,3,8,12
XB-GENE-1005966,101,124,248,124,157,125
XB-GENE-1006009,0,0,0,7,5,5
XB-GENE-1006032,613,658,732,723,684,460
XB-GENE-1006047,3,5,6,3,8,9
XB-GENE-1006067,45,34,69,34,43,25
XB-GENE-1006081,64,32,55,42,26,55
XB-GENE-1006101,110,128,180,135,131,116
XB-GENE-1006110,32,44,61,68,41,42
XB-GENE-1006122,14,18,31,19,21,18
XB-GENE-1006134,293,255,340,360,231,166
XB-GENE-1006159,87,169,199,165,141,130
XB-GENE-1006181,59,55,78,66,64,39
XB-GENE-1006193,27,37,49,40,27,35
XB-GENE-1006209,181,228,251,215,234,196
XB-GENE-1006260,36,39,70,50,53,59
XB-GENE-1006271,166,161,175,195,175,143
XB-GENE-1006309,892,971,1443,1347,1161,1179
XB-GENE-1006336,305,347,414,379,379,241
XB-GENE-1006367,37,30,59,45,35,21
XB-GENE-1006378,7,5,1,19,11,7
XB-GENE-1006390,105,157,189,141,139,133
XB-GENE-1006409,79,120,157,136,104,106
XB-GENE-1006426,109,139,260,133,177,149
XB-GENE-1006438,0,0,0,0,0,0
XB-GENE-1006461,14,21,34,26,22,40
XB-GENE-1006529,3,4,1,2,1,5
XB-GENE-1006541,460,569,989,688,682,731
XB-GENE-1006600,151,204,263,198,203,181
XB-GENE-1006620,488,596,835,762,718,640
XB-GENE-1006643,3391,3447,3329,3615,3908,1698
XB-GENE-1006655,99,124,114,123,158,73
XB-GENE-1006686,21,31,47,19,28,28
XB-GENE-1006695,146,168,304,195,192,152
XB-GENE-1006717,20,33,45,39,28,42
XB-GENE-1006737,159,185,369,220,226,191
