xenbase_gene_id,S14_C_5,S14_C_6,S14_C_A,S14_F_5,S14_F_6,S14_F_A
XB-GENE-1007195,3,0,2,1,4,4
XB-GENE-1007210,92,43,102,158,47,155
XB-GENE-1007229,886,445,894,1127,363,1031
XB-GENE-1007241,263,289,411,381,260,355
XB-GENE-1007252,133,146,155,196,116,155
XB-GENE-1007263,6,4,7,9,6,5
XB-GENE-1007284,202,121,277,252,131,234
XB-GENE-1007301,149,62,255,206,85,194
XB-GENE-1007318,370,166,299,526,235,343
XB-GENE-1007351,53,81,84,168,83,47
XB-GENE-1007361,1262,740,1208,2431,552,1582
XB-GENE-1007380,29,23,46,47,20,42
XB-GENE-1007407,414,249,250,616,232,294
XB-GENE-1007442,219,223,337,306,179,256
XB-GENE-1007455,0,0,0,0,0,0
XB-GENE-1007496,1,0,4,0,0,2
XB-GENE-1007517,55,30,68,103,45,91
XB-GENE-1007528,36,31,54,69,34,67
XB-GENE-1007550,1194,809,1319,1616,732,1036
XB-GENE-1007563,0,0,0,0,0,0
XB-GENE-1007573,126,97,272,153,76,187
XB-GENE-1007582,5,5,24,14,7,10
XB-GENE-1007591,78,47,89,90,43,79
XB-GENE-1007605,137,167,213,208,121,182
XB-GENE-1007670,179,154,160,251,177,103
XB-GENE-1007712,61,51,62,83,27,35
XB-GENE-1007734,10,18,21,17,9,12
XB-GENE-1007747,2,3,4,7,1,11
XB-GENE-1007890,8,6,31,8,6,24
XB-GENE-1007899,0,0,0,0,0,1
XB-GENE-1007936,622,349,899,915,329,929
XB-GENE-1007957,711,531,870,1229,520,770
XB-GENE-1007970,18,9,5,46,16,78
XB-GENE-1007985,991,537,1119,1287,563,1144
XB-GENE-1007998,1106,660,1059,1958,700,1565
XB-GENE-1008024,491,494,821,547,487,785
XB-GENE-1008056,229,141,211,304,138,258
XB-GENE-1008065,22,29,34,57,19,32
XB-GENE-1008083,54,49,48,57,45,32
XB-GENE-1008117,186,109,161,288,103,188
XB-GENE-1008127,272,253,703,548,259,748
XB-GENE-1008136,110,85,152,204,76,157
XB-GENE-1008149,208,224,652,314,242,300
XB-GENE-1008320,178,134,229,310,138,227
XB-GENE-1008330,110,73,151,165,63,162
XB-GENE-1008343,746,520,1063,1028,494,879
XB-GENE-1008373,0,0,0,3,0,1
XB-GENE-1008388,6,9,36,8,3,60
XB-GENE-1008405,159,150,268,284,149,233
XB-GENE-1008444,0,0,0,0,0,0
XB-GENE-1008476,43,33,63,80,29,51
XB-GENE-1008501,28,20,43,50,18,37
XB-GENE-1008542,272,127,217,585,160,343
XB-GENE-1008553,19,12,23,29,10,26
XB-GENE-1008574,586,389,597,1125,404,684
XB-GENE-1008585,0,0,1,0,0,1
XB-GENE-1008599,74,68,116,116,96,138
XB-GENE-1008633,175,126,247,297,142,265
XB-GENE-1008656,232,152,262,263,141,221
XB-GENE-1008683,133,84,210,167,115,160
XB-GENE-1008693,708,720,1208,990,583,826
XB-GENE-1008704,41,30,84,64,36,57
XB-GENE-1008737,584,334,647,839,334,685
XB-GENE-1008751,1074,915,1626,1655,840,1492
XB-GENE-1008764,93,45,102,124,49,104
XB-GENE-1008776,350,223,427,640,252,490
XB-GENE-1008789,479,355,432,642,314,367
XB-GENE-1008802,0,0,0,0,0,0
XB-GENE-1008815,38,49,75,86,41,76
XB-GENE-1008842,39,27,16,36,7,9
XB-GENE-1008861,1169,592,1497,1811,643,1936
XB-GENE-1008920,1423,715,1544,2086,737,1773
XB-GENE-1008948,1583,1097,1878,2715,982,1945
XB-GENE-1008957,1630,2760,4113,2430,2687,2327
XB-GENE-1008976,301,216,379,445,189,316
XB-GENE-1008989,161,92,155,192,73,153
XB-GENE-1009032,3,3,7,9,6,7
XB-GENE-1009048,22,11,17,44,18,34
XB-GENE-1009077,0,0,0,0,0,2
XB-GENE-1009094,2,0,1,2,0,4
XB-GENE-1009106,54,38,64,96,59,97
XB-GENE-1009196,0,0,0,0,0,0
XB-GENE-1009216,599,534,593,780,404,480
XB-GENE-1009237,0,0,0,0,0,0
XB-GENE-1009249,30,26,47,34,26,32
XB-GENE-1009260,2066,2083,3099,2729,2041,2289
XB-GENE-1009272,183,126,253,251,142,221
XB-GENE-1009279,470,381,645,816,361,812
XB-GENE-1009293,0,0,1,0,1,4
XB-GENE-1009310,11,6,19,12,3,30
XB-GENE-1009335,29,23,45,34,12,33
XB-GENE-1009581,5,5,13,8,8,9
XB-GENE-1009595,14,11,21,18,4,9
XB-GENE-1009610,88,72,119,111,56,83
XB-GENE-1009619,51,69,113,50,54,83
XB-GENE-1009638,23,12,48,38,27,187
XB-GENE-1009651,1969,1221,2863,3041,1285,2988
XB-GENE-1009676,153,128,146,191,113,165
XB-GENE-1009696,307,183,438,374,157,293
XB-GENE-1009705,38,17,30,43,18,31
XB-GENE-1009714,577,489,910,964,432,888
XB-GENE-1009721,164,199,404,191,223,177
XB-GENE-1009773,36,36,39,57,35,36
XB-GENE-1009783,110,76,117,137,48,91
XB-GENE-1009803,130,141,307,259,139,219
XB-GENE-1009814,64,48,85,105,52,86
XB-GENE-1009823,421,230,412,521,171,411
XB-GENE-1009853,281,131,350,349,132,238
XB-GENE-1009889,144,120,171,194,80,84
XB-GENE-1009907,351,149,253,573,186,345
XB-GENE-1009917,52,44,67,112,37,82
XB-GENE-1009929,63,36,42,87,19,70
XB-GENE-1009967,397,336,1155,580,415,658
XB-GENE-1009978,91,81,272,125,95,173
XB-GENE-1010001,4229,3548,5261,6265,3029,5597
XB-GENE-1010024,545,371,653,869,376,826
XB-GENE-1010034,103,107,213,183,106,139
XB-GENE-1010060,86,82,167,183,86,101
XB-GENE-1010073,127,155,305,158,133,180
XB-GENE-1010155,777,487,1016,1041,624,1017
XB-GENE-1010183,17,30,36,43,22,34
XB-GENE-1010200,195,153,204,335,141,212
XB-GENE-1010209,0,0,0,0,0,0
XB-GENE-1010220,3152,3157,4423,5058,3039,4161
XB-GENE-1010233,17,8,27,16,6,30
XB-GENE-1010249,279,221,401,356,225,409
XB-GENE-1010285,120,87,137,166,71,125
XB-GENE-1010304,57,25,104,377,238,1183
XB-GENE-1010315,51,54,127,86,59,102
XB-GENE-1010341,184,325,585,291,332,311
XB-GENE-1010367,258,182,410,350,162,338
XB-GENE-1010437,95,54,130,155,54,94
XB-GENE-1010448,690,747,1386,861,570,636
XB-GENE-1010464,368,256,496,620,267,496
XB-GENE-1010511,271,298,426,699,261,478
XB-GENE-1010542,536,345,608,767,347,563
XB-GENE-1010554,256,153,229,396,165,283
XB-GENE-1010569,402,289,522,544,212,488
XB-GENE-1010586,36,28,36,36,15,24
XB-GENE-1010595,29,24,32,34,24,20
XB-GENE-1010605,88,65,125,114,42,103
XB-GENE-1010618,780,461,739,1051,408,649
XB-GENE-1010640,54,34,81,96,23,74
XB-GENE-1010663,0,0,0,0,0,0
XB-GENE-1010692,32,18,33,52,14,35
XB-GENE-1010711,162,158,268,265,177,187
XB-GENE-1010729,74,46,54,85,30,29
XB-GENE-1010765,630,559,1056,930,525,1078
XB-GENE-1010778,9,5,21,11,7,24
XB-GENE-1010786,61,41,93,126,51,247
XB-GENE-1010823,2,2,4,4,1,4
XB-GENE-1010852,6,11,9,9,4,5
XB-GENE-1010862,434,314,613,663,305,577
XB-GENE-1010880,385,294,468,621,252,437
XB-GENE-1010893,0,0,0,0,0,0
XB-GENE-1010935,55,37,66,105,27,56
XB-GENE-1010966,44,34,85,67,28,61
XB-GENE-1010995,15,0,43,21,0,22
XB-GENE-1011022,1,2,1,5,0,2
XB-GENE-1011062,442,351,699,676,351,853
XB-GENE-1011071,18,11,25,22,6,32
XB-GENE-1011089,136,127,164,153,105,91
XB-GENE-1011119,3,0,1,3,0,5
XB-GENE-1011130,184,177,348,291,167,330
XB-GENE-1011138,19,10,17,33,15,17
XB-GENE-1011152,487,405,477,684,374,366
XB-GENE-1011176,133,127,147,189,98,174
XB-GENE-1011189,0,0,0,1,0,0
XB-GENE-1011208,53,42,65,70,42,52
XB-GENE-1011243,585,749,1408,804,802,685
XB-GENE-1011251,47,34,97,50,40,79
XB-GENE-1011263,79,70,126,133,53,97
XB-GENE-1011273,4,4,17,17,4,19
XB-GENE-1011280,319,224,347,434,229,361
XB-GENE-1011289,11,3,7,13,3,12
XB-GENE-1011318,21,12,47,33,20,28
XB-GENE-1011330,30,18,40,40,17,40
XB-GENE-1011340,64,30,65,66,38,33
XB-GENE-1011364,90,77,143,145,53,96
XB-GENE-1011375,178,152,315,154,156,136
XB-GENE-1011383,262,190,313,426,227,362
XB-GENE-1011420,0,0,0,0,0,0
XB-GENE-1011443,207,161,195,279,140,157
XB-GENE-1011470,43,52,68,80,35,60
XB-GENE-1011486,556,363,678,959,304,1083
XB-GENE-1011507,15,15,43,29,15,47
XB-GENE-1011516,25,22,34,30,13,17
XB-GENE-1011524,135,89,158,209,95,137
XB-GENE-1011554,186,110,181,170,91,157
XB-GENE-1011581,1064,618,1099,1809,668,1287
XB-GENE-1011592,336,207,547,475,194,527
XB-GENE-1011603,10,1,3,184,66,276
XB-GENE-1011616,43,42,80,76,44,69
XB-GENE-1011623,0,0,0,1,0,5
XB-GENE-1011632,2,3,1,4,2,4
XB-GENE-1011640,10,8,19,19,12,14
XB-GENE-1011662,1,0,0,1,0,0
XB-GENE-1011676,155,150,361,275,131,228
XB-GENE-1011692,297,241,445,485,254,525
XB-GENE-1011702,0,0,0,3,0,0
XB-GENE-1011711,72,53,109,91,67,92
XB-GENE-1011728,172,137,275,228,106,159
XB-GENE-1011754,1,1,13,0,1,11
XB-GENE-1011778,117,89,153,154,99,108
XB-GENE-1011784,197,223,381,438,209,422
XB-GENE-1011821,54,36,83,106,45,90
XB-GENE-1011835,77,151,287,172,186,196
XB-GENE-1011855,24,31,33,51,33,45
XB-GENE-1011888,15,17,26,25,15,16
XB-GENE-1011898,13,8,17,21,8,18
XB-GENE-1011909,0,0,0,0,0,0
XB-GENE-1011940,67,58,103,89,56,105
XB-GENE-1011983,7,5,14,14,6,7
XB-GENE-1012016,0,0,0,0,0,0
XB-GENE-1012028,139,98,160,257,90,250
XB-GENE-1012061,6,5,5,14,2,6
XB-GENE-1012072,57,54,75,87,44,67
XB-GENE-1012096,2,11,12,7,20,8
XB-GENE-1012111,104,120,229,153,119,159
XB-GENE-1012139,220,285,525,301,262,325
XB-GENE-1012161,90,58,86,155,65,101
XB-GENE-1012170,62,72,131,115,62,77
XB-GENE-1012182,322,167,279,686,164,475
XB-GENE-1012216,472,311,640,602,285,528
XB-GENE-1012227,35,19,25,46,17,34
XB-GENE-1012242,224,208,387,292,154,302
XB-GENE-1012266,117,98,135,173,90,131
XB-GENE-1012286,77,79,209,105,100,95
XB-GENE-1012308,166,389,282,588,136,152
XB-GENE-1012350,184,175,211,295,129,162
XB-GENE-1012370,59,71,243,64,69,154
XB-GENE-1012381,26,25,55,45,25,56
XB-GENE-1012412,224,91,152,371,132,253
XB-GENE-1012424,80,56,151,144,76,189
XB-GENE-1012451,0,0,1,0,0,0
XB-GENE-1012464,76,73,116,130,59,99
XB-GENE-1012473,0,0,4,0,0,8
XB-GENE-1012486,44,25,34,81,36,68
XB-GENE-1012509,165,139,176,242,134,180
XB-GENE-1012552,4215,2651,6113,6042,2819,6031
XB-GENE-1012570,137,76,164,265,103,205
XB-GENE-1012595,499,135,137,840,167,277
XB-GENE-1012639,0,0,0,0,0,2
XB-GENE-1012650,149,126,203,205,149,176
XB-GENE-1012677,7,5,10,7,6,5
XB-GENE-1012693,192,129,266,276,111,222
XB-GENE-1012725,85,82,101,94,61,98
XB-GENE-1012738,1,0,0,1,0,0
XB-GENE-1012771,46,24,37,59,26,24
XB-GENE-1012781,4,0,0,2,0,1
XB-GENE-1012790,303,329,821,483,457,575
XB-GENE-1012805,1066,893,1154,1683,870,1130
XB-GENE-1012829,4,1,3,9,1,2
XB-GENE-1012845,193,153,276,195,172,133
XB-GENE-1012867,34,31,51,54,31,43
XB-GENE-1012879,573,395,779,796,309,786
XB-GENE-1012896,287,217,250,306,161,185
XB-GENE-1012914,39,31,83,142,57,50
XB-GENE-1012927,10,7,17,15,10,12
XB-GENE-1012936,1438,911,2405,2305,934,2557
XB-GENE-1012950,209,166,361,249,144,265
XB-GENE-1012968,0,1,1,0,0,0
XB-GENE-1012976,11,0,7,7,3,6
