S14_C_5,S14_C_6,S14_C_A,S14_F_5,S14_F_6,S14_F_A,xenbase_gene_id
120.64539501920349,106.19727147236831,96.55283899083624,137.5447866244941,96.73888224738174,112.57139866759785,XB-GENE-1000007
377.1527213663388,390.30945229454846,452.3967697877085,368.1754389443529,382.6876371256719,601.7914620500907,XB-GENE-1000023
167.38189939601205,135.16016369210513,137.0427392127998,163.94227092616467,135.14990902207742,167.58749576078475,XB-GENE-1000062
106.51575416109857,106.19727147236831,118.35509295650893,127.12472703172939,92.47099038352667,94.79696729902976,XB-GENE-1000072
101.0812769079813,139.2977197234961,127.69891608465437,113.9259848808941,133.72727840079241,122.7282165924939,XB-GENE-1000113
146.7308858341664,154.468758505263,133.14947957607254,152.82754069388233,122.3462334305122,153.19867036718202,XB-GENE-1000132
5.434477253117274,2.758370687593982,3.8932596367272674,11.114730232282351,9.958414348995179,7.617613443672035,XB-GENE-1000149
4.347581802493819,11.033482750375928,3.1146077093818136,2.778682558070588,1.4226306212850257,17.77443136856808,XB-GENE-1000188
19577.160856629667,11609.98222408307,11110.584351292275,14027.484223779846,11366.818664067356,12028.211627558143,XB-GENE-1000251
174.9901675503762,119.98912491033822,123.02700452058164,181.30903691410586,146.53095399235764,187.90113161057684,XB-GENE-1000265
47.82339982743201,48.27148703289468,53.72698298683629,54.87898052189411,41.256288017265746,66.86571800556564,XB-GENE-1000329
14.129640858104914,11.033482750375928,17.90899432894543,11.809400871799998,19.916828697990358,14.388825393602731,XB-GENE-1000363
216.2921946740675,182.0524653812028,144.82925848625433,186.17173139072938,166.447782690348,150.659465885958,XB-GENE-1000382
104.34196325985167,59.304969783270614,141.71465077687253,77.80311162597646,79.66731479196143,120.18901211126988,XB-GENE-1000437
17.390327209975275,20.687780156954865,37.375292512581765,39.596226452505874,55.482594230116,52.4768926119629,XB-GENE-1000470
58.69235433366656,33.10044825112779,56.06293876887265,58.352333719482345,51.21470236626092,82.10094489290971,XB-GENE-1000482
92.38611330299366,79.99274994022548,103.56070633694532,120.87269127607057,166.447782690348,150.659465885958,XB-GENE-1000491
126.07987227232076,154.468758505263,142.493302704218,135.46077470594116,118.07834156665713,101.56817924896046,XB-GENE-1000531
271.7238626558637,158.60631453665397,169.74612016130885,243.13472383117644,196.32302573733355,255.61325110988383,XB-GENE-1000542
518.449129947388,382.0343402317665,536.4911779410174,464.03998719778815,342.85397972969116,546.7753649569038,XB-GENE-1000552
314.1127852301784,347.55470663684173,251.50457253258148,269.532208132847,317.2466285465607,185.36192712935284,XB-GENE-1000567
