xenbase_gene_id,S20_C_5,S20_C_6,S20_C_A,S20_F_5,S20_F_6,S20_F_A
XB-GENE-1018521,0,0,0,11,4,39
XB-GENE-17335217,0,0,0,8,6,44
XB-GENE-5981788,0,0,0,4,5,12
XB-GENE-6252072,0,0,0,3,8,35
XB-GENE-6254394,0,0,0,9,19,5
XB-GENE-6255435,0,0,0,3,26,18
XB-GENE-865376,0,0,0,2,19,26
XB-GENE-865614,0,0,0,24,61,27
