Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id
256,0.5889263552535304,0.6441382010585489,-0.02585275914173979,-0.02585275914173979,ENSMUSG00000014158
257,0.6025273315809581,0.6564500110609659,-0.037215285000160914,-0.037215285000160914,ENSMUSG00000051498
258,0.6296537367649931,0.6833451406751864,-0.012380052660055067,-0.012380052660055067,ENSMUSG00000024673
259,0.6427994824550649,0.694918359410881,0.05566619531996064,0.05566619531996064,ENSMUSG00000043895
260,0.6973557344293162,0.7504426374810573,-0.016752284581714405,-0.016752284581714405,ENSMUSG00000048534
261,0.6995197442234141,0.7504426374810573,-0.04570053037987831,-0.04570053037987831,ENSMUSG00000049313
262,0.7107547133082084,0.7595851897950319,-0.010178025033065058,-0.010178025033065058,ENSMUSG00000044156
263,0.7201365942303165,0.7666853474695385,0.04681263381558387,0.04681263381558387,ENSMUSG00000014353
264,0.7274256337094688,0.7715120357524667,0.03650194735663148,0.03650194735663148,ENSMUSG00000018341
265,0.7605293990674916,0.8032985742061757,-0.009878106068458264,-0.009878106068458264,ENSMUSG00000004730
266,0.7631336454958669,0.8032985742061757,0.04142725075369924,0.04142725075369924,ENSMUSG00000021939
267,0.770008433056854,0.8074994803592476,-0.010692429143590323,-0.010692429143590323,ENSMUSG00000026285
268,0.7887241282343269,0.8240401339761624,-0.013866832862162337,-0.013866832862162337,ENSMUSG00000031342
269,0.825227198886777,0.8589725490271285,0.003894993194215761,0.003894993194215761,ENSMUSG00000030772
270,0.830342590438719,0.8610960197142271,-0.03273496393592534,-0.03273496393592534,ENSMUSG00000023088
271,0.8364928216290559,0.864273026037401,0.011831912532907272,0.011831912532907272,ENSMUSG00000027962
272,0.8430184073783544,0.8678130664188941,0.02236548039809416,0.02236548039809416,ENSMUSG00000006386
273,0.8506013189404777,0.8724116091697207,0.016657109033973327,0.016657109033973327,ENSMUSG00000005672
274,0.8686803511178207,0.887702548587554,-0.025790675984981526,-0.025790675984981526,ENSMUSG00000027130
275,0.877765712462554,0.8937250890527821,-0.003222279424844724,-0.003222279424844724,ENSMUSG00000020701
276,0.8840288273828731,0.8968408393739293,0.008088558533866419,0.008088558533866419,ENSMUSG00000055912
277,0.9076143857695673,0.9174441444602124,0.018023620046375477,0.018023620046375477,ENSMUSG00000034164
278,0.9268072373836964,0.9334749153504855,0.0012113403280090557,0.0012113403280090557,ENSMUSG00000019359
279,0.9533307369758579,0.9567476930223663,-0.005780668635808839,-0.005780668635808839,ENSMUSG00000050947
280,0.9629080494800579,0.9629080494800579,-0.007641867966360128,-0.007641867966360128,ENSMUSG00000024270
