lm_pro_1,lm_pro_2,lm_pro_3,lm_meta_1,lm_meta_2,lm_meta_3,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
6.90748144841644,1.0919227026471157,3.0171416999528264,6.369995742370169,9.474647527098087,11.320404972185386,LmxM.00:ncRNA:rfamscan:423014-423115,6.363599015445004,-1.2575333636930002,0.8247800819310395,-1.524689297477656,0.1273366124658207,0.22727713124056045
7.674979387129378,0,0,8.917994039318236,11.843309408872608,15.093873296247184,LmxM.00:ncRNA:rfamscan:423026-423143,7.255026021927901,-2.1040499027674593,0.9167378435094081,-2.295148954157761,0.021724589395159075,0.05537473133744927
19.954946406536383,13.103072431765389,28.15998919955971,29.301980414902776,29.60827352218152,49.05508821280335,LmxM.00:ncRNA:rfamscan:448324-448416,28.19722503129152,-0.8346724017340048,0.41517046017403136,-2.010433019208848,0.0443853787148028,0.09862508301732716
1.5349958774258756,2.1838454052942313,5.028569499921377,16.56198893016244,18.949295054196174,28.678359262869648,LmxM.00:ncRNA:rfamscan:525827-525994,12.156175671644958,-2.928725906574345,0.7039473461285446,-4.160433195296887,3.176445222954211e-5,2.140083644935498e-4
5.372485570990564,2.1838454052942313,0,11.465992336266304,27.239611640407,19.62203528512134,LmxM.00:ncRNA:rfamscan:525843-525979,10.980661706346572,-2.859509173181418,0.7630967308418839,-3.747243380307336,1.7878859462639146e-4,9.650923690741297e-4
15.349958774258756,5.4596135132355785,18.102850199716958,15.287989781688406,29.60827352218152,29.433052927682006,LmxM.00:ncRNA:rfamscan:637837-637919,18.87362311979387,-0.9299864334663448,0.5076089710113507,-1.832092194141993,0.06693768613964547,0.13704277067706597
19.187448467823444,8.735381621176925,10.057138999842755,28.027981266428743,29.60827352218152,34.715908581368524,LmxM.00:ncRNA:rfamscan:637845-637904,21.722022076470317,-1.2562576012164923,0.45755150932170446,-2.7456091295138045,0.006039867602293461,0.01902851492178862
59651.47479264695,48438.7830121287,55739.6814788285,16460.068998284518,13812.851763568122,15965.544479105458,LmxM.00:rRNA:rfamscan:1128121-1128229,35011.40075409371,1.8250327997303817,0.12915652561924054,14.130395587681441,2.4675427247794666e-45,1.892605269905851e-42
3841.3271832582536,3960.4036425010886,3251.4730386491624,589.8616057434776,465.44205976869347,362.25295910993236,LmxM.00:rRNA:rfamscan:576565-576732,2078.4600815051012,2.9689745457034387,0.16767244741295548,17.70699116946292,3.703480692320992e-70,1.0415422200370737e-66
324.65162807557266,283.8999026882501,263.49704179588014,14.013990633214371,30.79260446306878,27.923665598057287,LmxM.00:rRNA:rfamscan:655615-655782,157.46313887567388,3.5561115174923854,0.25756068490659445,13.806887952569413,2.3162370384397105e-43,1.6285076577763199e-40
17.65245259039757,18.56268594500097,18.102850199716958,26.75398211795471,27.239611640407,49.809781877615706,LmxM.01.0010,26.353560728515486,-0.9615115178696692,0.4180346126612397,-2.30007633039909,0.021443895994740017,0.054775098549083114
176.5245259039757,160.51263728912602,197.11992439691798,188.551873974157,200.15192900994708,251.3129903825156,LmxM.01.0020,195.69564682610655,-0.2678780558582905,0.19070549130962167,-1.4046688116776596,0.1601197841244185,0.2720254086087233
171.15204033298514,126.66303350706542,132.75423479792437,59.87795997827959,63.95387080791208,73.20528548679884,LmxM.01.0030,104.60107081849424,1.123474536591362,0.23530883807142125,4.774468081179185,1.8018285691068026e-6,1.7393624299260977e-5
152.73208980387463,147.40956485736064,125.71423749803444,271.3618186249692,219.10122406414325,255.0864587065774,LmxM.01.0040,195.2342322591599,-0.8062365744333649,0.18564252580471569,-4.342951976862647,1.4058087250943363e-5,1.0580560404657373e-4
92.09975264555253,84.07804810382791,86.49139539864768,72.61795146301992,88.82482056654456,101.88364474966849,LmxM.01.0050,87.66593548787685,-0.012676928417519011,0.23937357133883816,-0.05295876377085322,0.9577647633234736,0.9734767559863868
62.9348309744609,44.768830808531746,73.4171146988521,26.75398211795471,34.34559728573056,24.904890938807853,LmxM.01.0060,44.52087447072298,1.088435144330507,0.3332965049383145,3.265666240730461,0.00109206882742936,0.0045254345270243175
108.21720935852423,126.66303350706542,121.69138189809733,135.04390973824758,140.93538196558404,172.82484924203024,LmxM.01.0070,134.2292942849248,-0.3435823873791316,0.20710815554015635,-1.6589515100602312,0.09712556375106726,0.1841870940363575
112.05469905208892,94.99727513029907,135.77137649787718,171.98988504399455,190.677281482849,153.2028139569089,LmxM.01.0080,143.11555519400292,-0.5839491971677889,0.21014623106194846,-2.778775494649,0.005456422226154449,0.01742461556474833
26.862427854952823,10.919227026471157,27.15427529957544,25.479982969480677,24.870949758632477,18.867341620308977,LmxM.01.0090,22.359034088236925,-0.06409141958407287,0.4513636247793423,-0.14199509235022026,0.8870838821456397,0.9300766389539905
26.094929916239884,19.654608647648082,45.25712549929239,61.151959126753624,48.55756857637769,60.375493184988734,LmxM.01.0100,43.515280825216735,-0.9056872088826663,0.3475186178379958,-2.60615449761277,0.009156514963491076,0.027011719142298676
112.82219699080186,114.65188377794715,113.64567069822313,75.16594975996799,91.19348244831909,64.14896150905052,LmxM.01.0110,95.27135753071829,0.5761851052315636,0.23392852333722808,2.463081872238997,0.013774845738396489,0.03788105794236391
79.81978562614553,72.06689837470964,73.4171146988521,71.34395231454589,67.50686363057386,53.5832502016775,LmxM.01.0120,69.62297747441743,0.24271650166898093,0.2596074852590211,0.9349364538807987,0.3498210490603492,0.4870520288844353
