sample,min,lowerq,mean,median,upperq,max,n_zero
S20_C_5,0,19,486.3821575716808,109,325,181179,1203
S20_C_6,0,9,237.288657193307,52,159,75827,1333
S20_C_A,0,14,297.63415454469015,71,207,94228,1097
S20_F_5,0,13,316.2837803750105,70,206,101544,1367
S20_F_6,0,16,354.042461952409,83,244,101269,1078
S20_F_A,0,27,459.8853947700328,122,331,120149,728
