ensembl_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
ENSMUSG00000029163,0,1.39159397244371,3.376947670959621,4.302707335920928,3.17149014895496,7.741058715529,10.428388954581,3016.1978424805707,114
ENSMUSG00000029338,0,0,3.0033810542993646,2.330455861740176,1.11084695883862,3.37297058629176,11.1701617153208,1633.6495590798634,296
ENSMUSG00000029386,0,0,2.0784660978638767,0.917612481030307,0,1.00972407715621,9.55376988792906,643.2463492022451,502
ENSMUSG00000029767,0,2.79221949742748,3.1708563083755306,5.769908289010665,6.20880773232309,8.78317157174328,11.2723069701208,4044.7057105964764,33
ENSMUSG00000030054,0,0,2.725668458141696,1.761758815303298,0,2.23740424080819,10.4592189299922,1234.9929295276118,383
ENSMUSG00000030062,0,4.66602524878025,2.5054237707133398,6.730083269276298,7.45349243764351,8.84575426569481,11.4933715648037,4717.788371762685,5
ENSMUSG00000030077,0,0,0.8750665547646373,0.27956953260966283,0,0,9.17990274658709,195.97824235937364,589
ENSMUSG00000030084,0,0,1.5186851120519766,0.49467709327031245,0,0,9.65865674126989,346.768642382489,591
ENSMUSG00000030117,0,0,2.2361605094529686,1.6586618082047784,1.11305439769412,2.31666408271937,9.60908834804994,1162.7219275515495,291
ENSMUSG00000030124,0,0,2.885873772836116,2.027024001256803,0.678940154081461,2.48628255325537,9.63794963406414,1420.943824881019,347
ENSMUSG00000030336,2.33312337043441,8.48613662983986,1.8155280894816823,9.328106357122135,9.71493875310155,10.5978543503085,12.4626551805834,6539.002556342616,0
ENSMUSG00000030577,0,0,0.743932188780787,0.21825323494032753,0,0,9.13993066250196,152.9955176931696,608
ENSMUSG00000030605,0,1.70385474185165,3.406321147526645,4.970580560539974,5.46958508540747,8.2060494070856,10.7078473738502,3484.376972938522,88
ENSMUSG00000030683,0,0,0.8500713591585598,0.23496354485471047,0,0,9.19097022878011,164.70944494315202,605
ENSMUSG00000030724,0,0,0.9495238796010723,0.20968499094599372,0,0,10.9310685952981,146.9891786531416,641
ENSMUSG00000030745,0,1.73094335522758,3.462773196873715,5.0228881458018995,5.94079097444209,8.29849076988382,10.9273854091341,3521.0445902071315,87
ENSMUSG00000030748,0,0,3.1766501341551447,3.331193039340312,2.32333680403635,6.09632834297107,11.1752444824846,2335.166320577559,191
ENSMUSG00000030754,0,2.55611054500209,3.074511849458244,5.476173983212823,5.72137381794626,8.42273477824041,10.7121155321068,3838.797962232189,26
ENSMUSG00000030772,0,0,0.294576281772287,0.05403878591696192,0,0,2.55284934039661,37.881188927790305,674
ENSMUSG00000030786,0,0,2.430965016553078,1.9650657709527704,1.39895459074137,2.43763049559598,9.96891257608359,1377.511105437892,252
ENSMUSG00000030830,0,0,2.986041925236956,2.8940947679270654,1.91548918592918,5.05959591165809,10.6147336186145,2028.7604323168728,206
ENSMUSG00000031021,0,2.49851945906487,2.7385384208527346,4.4978589177374015,3.79867170240765,6.82192690444003,10.5654704925576,3152.9991013339186,44
ENSMUSG00000031170,0,0.973591233100774,1.7098245068351559,2.2327057016755956,2.23860138211077,3.29225315304346,10.073311994036,1565.1266968745924,148
ENSMUSG00000031342,0,0,1.070108770864038,0.40323035915517363,0,0,9.28240885930765,282.66448176777675,548
ENSMUSG00000031375,0,0,1.9788103204807295,0.7387386908325975,0,0,9.41934686655124,517.8558222736508,546
ENSMUSG00000031647,0,0,0.6546944443079692,0.19273839681323698,0,0,7.39054607863873,135.10961616607912,622
ENSMUSG00000031703,0,1.85572679604419,3.1738740200192197,4.526942372301174,3.62947330282953,7.82144827030273,10.5772580500573,3173.386602983123,70
ENSMUSG00000031785,2.15255984933528,9.57165350042539,1.7030837375932633,10.027794268474366,10.4220858127095,11.0956033105817,12.5905758546022,7029.483782200531,0
ENSMUSG00000031835,0,1.46359428224482,3.173384896393664,4.063307561184631,3.00641919769643,7.26361599085579,10.8105827287297,2848.3786003904265,102
ENSMUSG00000031934,0,0,3.2677791432525054,3.2927520442693634,2.07495611384016,6.81344751185703,11.0570028821652,2308.219183032824,212
