sample,min,lowerq,mean,median,upperq,max,n_zero
S14_C_5,0,12,367.5081980997225,80,253,137553,1318
S14_C_6,0,9,282.02017993777855,62,199,84186,1486
S14_C_A,0,17,496.12074329437485,112,350,170328,1209
S14_F_5,0,20,543.916169175145,127,397,144258,1134
S14_F_6,0,10,269.36164130160597,61,193,64793,1328
S14_F_A,0,18,449.3527284957538,104,327,125588,1090
