gene_id,SRX028956_wild_suf,SRX028957_wild_def,SRX028960_wild_suf,SRX028961_wild_def
AT1G04513,11,0,25,0
AT1G22610,36,0,52,0
AT1G26290,12,0,23,0
AT1G59810,5,0,16,0
AT2G44130,28,0,18,0
AT3G13855,18,0,76,0
AT3G19274,7,0,14,0
AT3G43570,8,0,14,0
AT3G44490,8,0,24,0
AT3G61030,11,0,17,0
AT4G09310,131,0,302,0
AT4G09435,11,0,19,0
AT4G14165,5,0,17,0
AT5G01555,3,0,19,0
AT5G09275,2,0,19,0
AT5G09535,13,0,17,0
AT5G64572,18,0,20,0
ATCG01240,149,0,69,0
ATCG01280,52,0,168,0
